tweet_id,tweet_created_at,tweet_text,display_text_range,source,truncated,retweeted_status_created_at,retweeted_status_id,retweeted_user_id,retweeted_user_screen_name,in_reply_to_status_id,geo,coordinates,place,is_quote_status,hashtags,user_mentions,urls,media,possibly_sensitive,lang,user_id,user_name,user_screen_name,user_location,user_url,user_description,user_verified,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,user_created_at,user_profile_image_url,user_profile_banner_url,user_lang,filter_level
1311640029018681346,Thu Oct 01 12:12:06 +0000 2020,RT @sadibenshitrit: כל הכבוד,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Thu Oct 01 11:16:05 +0000 2020,1311625929224065024,1266939715372101637,sadibenshitrit,,,,,TRUE,,sadibenshitrit,,,FALSE,iw,1162683146942500865,Hanna,Hanna72759522,,,,FALSE,41,160,2479,12181,Sat Aug 17 11:11:17 +0000 2019,http://pbs.twimg.com/profile_images/1253391005447073794/odZKucVA_normal.jpg,,,low
1318614933593010184,Tue Oct 20 18:07:53 +0000 2020,RT @ArensteinNir: כל מילה בול https://t.co/xbloChomNc,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",FALSE,Tue Oct 20 17:48:27 +0000 2020,1318610041205936128,1246392723080429568,ArensteinNir,,,,,TRUE,,ArensteinNir,https://twitter.com/benadam2019/status/1318607445363707906,,FALSE,iw,189794226,shelly appelberg,shellyappelberg,israel,,כל הציוצים על דעתי האישית בלבד - לא מאמינה שצריך לשתק את המדינה בגלל הקורונה.,FALSE,456,182,4424,4512,Sun Sep 12 06:59:45 +0000 2010,http://pbs.twimg.com/profile_images/378800000365553266/490e42b9bec7477299a57bcb02acd5d0_normal.jpeg,https://pbs.twimg.com/profile_banners/189794226/1599654636,,low
1329354315581050880,Thu Nov 19 09:22:21 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,1238856333945864194,baribeer,baric2000,,,מחפש היגיון. מוצא בעיקר שיגעון.,FALSE,134,419,1153,10150,Sat Mar 14 15:55:54 +0000 2020,http://pbs.twimg.com/profile_images/1328678293529391104/4SvGi46z_normal.jpg,https://pbs.twimg.com/profile_banners/1238856333945864194/1584739160,,low
1329356955593355271,Thu Nov 19 09:32:51 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,1124657603957673985,Alice Drori 🏴🏴🏴,AliceDrori,,,,FALSE,41,65,2364,8112,Sat May 04 12:50:42 +0000 2019,http://pbs.twimg.com/profile_images/1243214621336616962/VFD_YN85_normal.jpg,,,low
1329360062398296066,Thu Nov 19 09:45:11 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,1239425439485038593,ליאור תמם,lior_tm,Israel,,"Dr Shiva , Just watch it!
https://www.youtube.com/watch?v=E-m5U35m87Y&t=544s&ab_channel=ShoshanaLalita",FALSE,97,160,3026,13394,Mon Mar 16 05:37:18 +0000 2020,http://pbs.twimg.com/profile_images/1316990422800097280/o_LLyp03_normal.jpg,,,low
1329379050293489664,Thu Nov 19 11:00:38 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,2416448082,Just... oof,uberavi,Israel,,"Gamer, Web Developer, Generally all-around nerd - ""Sticks and stones may break my bones, but there will always be something to offend a feminist""",FALSE,17,201,3675,1405,Fri Mar 28 20:54:24 +0000 2014,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,low
1329414094013784064,Thu Nov 19 13:19:53 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,3059841062,יעל מור,yaelmor1000,,,,FALSE,67,12,1457,18863,Tue Mar 03 13:04:48 +0000 2015,http://pbs.twimg.com/profile_images/572745635023945728/npPwKBbI_normal.jpeg,,,low
1329434476007596035,Thu Nov 19 14:40:53 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,1094737373450174466,Ran Israeli,RanIsraeli,Haifa,http://www.facebook.com/groups/CoronavirusHasbara/,"הצטרפו ל‏‏‏‏‏מערך ההסברה והאמת לנגיף הקורונה בישראל:
http://facebook.com/groups/Coronav‎…",FALSE,1014,3040,1631,7497,Sun Feb 10 23:18:23 +0000 2019,http://pbs.twimg.com/profile_images/1327498667834683393/J2SiNpDE_normal.jpg,https://pbs.twimg.com/profile_banners/1094737373450174466/1595401171,,low
1329499391699324941,Thu Nov 19 18:58:50 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,1056858844310237185,🇮🇱🇮🇹RealFakeYoelManor,FakeYoel,Israel,,זה החשבון הלא תקין פוליטית של יואל מנור המזוייף תלונות יש להפנות ליואל מנור האמיתי. אתאיסט יהודי אדוק שלא מתגעגע לגבולות 67 No More Oslo No More Bloodshed,FALSE,2032,3154,57707,51780,Mon Oct 29 10:42:38 +0000 2018,http://pbs.twimg.com/profile_images/1113530424314224642/Ry_8oGlQ_normal.jpg,https://pbs.twimg.com/profile_banners/1056858844310237185/1601496706,,low
1329681649651552257,Fri Nov 20 07:03:04 +0000 2020,"RT @UdiQimron: בעבר תמכתי במסיכות. טעיתי.

המחקר הדני התפרסם בכתב עת יוקרתי - המקיף מסוגו לגבי סארס2.

הפרסומות המקומיות על הגנת מסיכה (85%…",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Thu Nov 19 09:08:32 +0000 2020,1329350838654001157,1229368930424250371,UdiQimron,,,,,TRUE,,UdiQimron,,,FALSE,iw,51767736,Israel Rudich,irudich,Israel,,,FALSE,32,272,421,619,Sun Jun 28 16:19:48 +0000 2009,http://pbs.twimg.com/profile_images/1313566269480865795/ev-ju3SX_normal.jpg,https://pbs.twimg.com/profile_banners/51767736/1467500266,,low
